ID,STUDIES_ID,Site_L1,Site_L2,Site_L3,Site_long,Site_lat,Site_year,Site_month,Site_method,N,Species,Den_admin,Num_admin,Habitat,Den_hab,Num_hab,Den_unit,
1,ANHUI_1,Anhui,NA,NA,,,2015,Total,Breteau index,1,Aedes albopictus,10.74,,NA,,,%,
2,ANHUI_1,Anhui,NA,NA,,,2016,Total,Breteau index,1,Aedes albopictus,9.39,,NA,,,%,
3,ANHUI_1,Anhui,NA,NA,,,2017,Total,Breteau index,1,Aedes albopictus,11.77,,NA,,,%,
4,ANHUI_1,Anhui,NA,NA,,,2018,Total,Breteau index,1,Aedes albopictus,12.05,,NA,,,%,
5,ANHUI_1,Anhui,NA,NA,,,2019,Total,Breteau index,1,Aedes albopictus,8.87,,NA,,,%,
6,ANHUI_1,Anhui,NA,NA,,,2015,5,Breteau index,1,Aedes albopictus,5.89,,NA,,,%,
7,ANHUI_1,Anhui,NA,NA,,,2015,6,Breteau index,1,Aedes albopictus,10.54,,NA,,,%,
8,ANHUI_1,Anhui,NA,NA,,,2015,7,Breteau index,1,Aedes albopictus,16.66,,NA,,,%,
9,ANHUI_1,Anhui,NA,NA,,,2015,8,Breteau index,1,Aedes albopictus,15.39,,NA,,,%,
10,ANHUI_1,Anhui,NA,NA,,,2015,9,Breteau index,1,Aedes albopictus,10.33,,NA,,,%,
11,ANHUI_1,Anhui,NA,NA,,,2015,10,Breteau index,1,Aedes albopictus,6.02,,NA,,,%,
12,ANHUI_1,Anhui,NA,NA,,,2016,5,Breteau index,1,Aedes albopictus,3.84,,NA,,,%,
13,ANHUI_1,Anhui,NA,NA,,,2016,6,Breteau index,1,Aedes albopictus,9.06,,NA,,,%,
14,ANHUI_1,Anhui,NA,NA,,,2016,7,Breteau index,1,Aedes albopictus,14.6,,NA,,,%,
15,ANHUI_1,Anhui,NA,NA,,,2016,8,Breteau index,1,Aedes albopictus,13.1,,NA,,,%,
16,ANHUI_1,Anhui,NA,NA,,,2016,9,Breteau index,1,Aedes albopictus,9.57,,NA,,,%,
17,ANHUI_1,Anhui,NA,NA,,,2016,10,Breteau index,1,Aedes albopictus,5.96,,NA,,,%,
18,ANHUI_1,Anhui,NA,NA,,,2017,5,Breteau index,1,Aedes albopictus,4.93,,NA,,,%,
19,ANHUI_1,Anhui,NA,NA,,,2017,6,Breteau index,1,Aedes albopictus,8.31,,NA,,,%,
20,ANHUI_1,Anhui,NA,NA,,,2017,7,Breteau index,1,Aedes albopictus,14.99,,NA,,,%,
21,ANHUI_1,Anhui,NA,NA,,,2017,8,Breteau index,1,Aedes albopictus,17.84,,NA,,,%,
22,ANHUI_1,Anhui,NA,NA,,,2017,9,Breteau index,1,Aedes albopictus,17.21,,NA,,,%,
23,ANHUI_1,Anhui,NA,NA,,,2017,10,Breteau index,1,Aedes albopictus,6.85,,NA,,,%,
24,ANHUI_1,Anhui,NA,NA,,,2018,5,Breteau index,1,Aedes albopictus,7.48,,NA,,,%,
