city_en,cases_year_min,cases_year_max,n_case_months,n_case_months_pos,bi_year_min,bi_year_max,n_bi_months,bi_mean,bi_coverage_ratio_vs_cases
Chaozhou,2005,2019,180,44,,,,,
Dongguan,2005,2019,180,65,2016.0,2017.0,24.0,2.3222484583333336,0.13333333333333333
Foshan,2005,2019,180,76,,,,,
Guangzhou,2005,2019,180,135,2006.0,2019.0,87.0,6.1800804597701156,0.48333333333333334
Huizhou,2005,2019,180,22,2015.0,2015.0,9.0,4.859812222222222,0.05
Jiangmen,2005,2019,180,39,2015.0,2017.0,36.0,5.97460388888889,0.2
Jieyang,2005,2019,180,25,2008.0,2010.0,18.0,13.10268222222222,0.1
Maoming,2005,2019,180,27,2017.0,2018.0,18.0,4.841056303,0.1
Qingyuan,2005,2019,180,28,,,,,
Shantou,2005,2019,180,39,2010.0,2014.0,44.0,10.209772727272728,0.24444444444444444
Shenzhen,2005,2019,180,105,2009.0,2017.0,70.0,2.2180074899999997,0.3888888888888889
Yangjiang,2005,2019,180,24,,,,,
Zhanjiang,2005,2019,180,33,,,,,
Zhaoqing,2005,2019,180,28,,,,,
Zhongshan,2005,2019,180,64,,,,,
Zhuhai,2005,2019,180,50,,,,,
