date,temp_mean,temp_max,temp_min,humidity,precip_mm,year,month
2005-01-01,6.5,11.8,1.9,30,0.0,2005,1
2005-01-02,9.2,14.2,5.2,31,0.0,2005,1
2005-01-03,10.9,16.5,5.0,51,0.0,2005,1
2005-01-04,13.9,17.8,11.8,55,0.0,2005,1
2005-01-05,14.2,18.3,11.2,55,0.0,2005,1
2005-01-06,16.0,21.2,11.8,60,0.0,2005,1
2005-01-07,16.3,22.6,10.9,67,0.0,2005,1
2005-01-08,15.3,20.6,10.9,53,0.0,2005,1
2005-01-09,13.1,17.8,9.0,52,0.0,2005,1
2005-01-10,12.5,17.7,8.2,54,0.0,2005,1
2005-01-11,13.7,18.6,9.9,57,0.0,2005,1
2005-01-12,12.7,17.4,9.7,55,0.0,2005,1
2005-01-13,8.0,9.4,6.8,78,8.6,2005,1
2005-01-14,9.1,14.7,4.7,54,0.0,2005,1
2005-01-15,10.0,15.8,6.0,44,0.0,2005,1
2005-01-16,10.6,16.9,5.2,42,0.0,2005,1
2005-01-17,11.6,17.9,5.2,54,0.0,2005,1
2005-01-18,14.4,20.6,8.2,69,0.0,2005,1
2005-01-19,14.9,19.2,13.4,65,0.4,2005,1
2005-01-20,14.9,20.5,11.6,61,0.0,2005,1
2005-01-21,15.3,22.3,10.3,70,0.0,2005,1
2005-01-22,17.9,22.5,15.2,75,0.0,2005,1
2005-01-23,18.1,25.1,12.5,73,0.0,2005,1
2005-01-24,18.6,24.2,14.7,77,0.0,2005,1
2005-01-25,19.5,23.9,15.9,80,0.1,2005,1
2005-01-26,19.6,24.7,16.3,81,0.0,2005,1
2005-01-27,19.3,23.0,17.1,81,1.5,2005,1
2005-01-28,13.9,16.8,12.7,87,3.7,2005,1
2005-01-29,15.5,17.5,13.6,93,5.2,2005,1
2005-01-30,13.5,15.9,12.2,88,5.0,2005,1
2005-01-31,11.1,12.1,10.1,68,0.3,2005,1
2005-02-01,11.2,12.1,9.7,51,0.0,2005,2
2005-02-02,10.0,11.1,9.0,81,4.1,2005,2
2005-02-03,11.4,13.9,9.3,88,3.1,2005,2
2005-02-04,15.8,20.1,12.4,89,0.1,2005,2
2005-02-05,19.8,24.7,16.7,87,0.1,2005,2
2005-02-06,21.1,25.9,18.4,82,0.5,2005,2
2005-02-07,21.0,25.6,17.2,82,0.4,2005,2
2005-02-08,20.4,25.5,16.3,84,0.2,2005,2
2005-02-09,21.5,25.1,18.9,81,0.9,2005,2
2005-02-10,14.6,19.4,12.4,76,1.1,2005,2
2005-02-11,13.0,17.2,10.5,68,0.1,2005,2
2005-02-12,15.3,20.4,12.7,69,0.0,2005,2
2005-02-13,16.8,23.1,12.2,69,0.0,2005,2
2005-02-14,19.7,24.0,16.6,76,1.2,2005,2
2005-02-15,22.3,27.1,19.2,84,1.7,2005,2
2005-02-16,23.8,28.6,20.8,82,5.6,2005,2
2005-02-17,15.0,18.7,13.0,86,2.4,2005,2
