year,month,BI,date
2006,3,1.696,2006-03-01
2006,4,2.34,2006-04-01
2006,5,4.914,2006-05-01
2006,6,4.915,2006-06-01
2006,7,4.389,2006-07-01
2006,8,9.302,2006-08-01
2006,9,3.222,2006-09-01
2006,10,3.398,2006-10-01
2006,11,2.346,2006-11-01
2006,12,0.183,2006-12-01
2007,3,1.295,2007-03-01
2007,4,2.524,2007-04-01
2007,5,4.103,2007-05-01
2007,6,4.923,2007-06-01
2007,7,4.105,2007-07-01
2007,8,6.094,2007-08-01
2007,9,3.464,2007-09-01
2007,10,3.231,2007-10-01
2007,11,1.536,2007-11-01
2007,12,0.894,2007-12-01
2008,3,6.0745,2008-03-01
2008,4,25.335,2008-04-01
2008,5,15.1385,2008-05-01
2008,6,12.7,2008-06-01
2008,7,38.7075,2008-07-01
2008,8,22.6105,2008-08-01
2008,9,19.146,2008-09-01
2008,10,15.6355,2008-10-01
2008,11,3.0035,2008-11-01
2008,12,2.0955,2008-12-01
2009,1,0.0,2009-01-01
2009,2,6.1,2009-02-01
2009,3,2.076,2009-03-01
2009,4,12.182500000000001,2009-04-01
2009,5,1.768,2009-05-01
2009,6,30.154,2009-06-01
2009,7,14.7275,2009-07-01
2009,8,19.6225,2009-08-01
2009,9,12.0585,2009-09-01
2009,10,4.833,2009-10-01
2009,11,1.597,2009-11-01
2009,12,0.981,2009-12-01
2010,1,1.96,2010-01-01
2010,2,5.56,2010-02-01
2010,3,4.647,2010-03-01
2010,4,6.3445,2010-04-01
2010,5,6.2815,2010-05-01
2010,6,11.0365,2010-06-01
2010,7,10.1955,2010-07-01
2010,8,17.353,2010-08-01
2010,9,11.3165,2010-09-01
2010,10,2.5345,2010-10-01
2010,11,3.0255,2010-11-01
2010,12,0.43,2010-12-01
2011,3,0.569,2011-03-01
2011,4,1.154,2011-04-01
2011,5,2.734,2011-05-01
2011,6,2.91,2011-06-01
2011,7,4.607,2011-07-01
2011,8,4.432,2011-08-01
2011,9,4.784,2011-09-01
2011,10,4.142,2011-10-01
2011,11,1.57,2011-11-01
2011,12,3.267,2011-12-01
2012,3,1.396,2012-03-01
2012,4,8.708,2012-04-01
2012,5,4.264,2012-05-01
2012,6,3.504,2012-06-01
2012,7,5.493,2012-07-01
2012,8,5.26,2012-08-01
2012,9,5.378,2012-09-01
2012,10,4.326,2012-10-01
2012,11,3.976,2012-11-01
2012,12,2.748,2012-12-01
2017,5,1.86,2017-05-01
2017,6,1.51,2017-06-01
2017,7,1.73,2017-07-01
2017,8,2.95,2017-08-01
2017,9,2.79,2017-09-01
2017,10,3.34,2017-10-01
2019,5,5.34,2019-05-01
2019,6,5.26,2019-06-01
2019,7,5.01,2019-07-01
2019,8,5.72,2019-08-01
2019,9,4.73,2019-09-01
2019,10,3.71,2019-10-01
2019,11,2.39,2019-11-01
2020,4,2.19,2020-04-01
2020,5,3.74,2020-05-01
2020,6,4.96,2020-06-01
2020,7,4.5,2020-07-01
2020,8,4.6,2020-08-01
2020,9,4.32,2020-09-01
2020,10,3.13,2020-10-01
2020,11,2.21,2020-11-01
2021,2,0.7613,2021-02-01
2021,3,1.6133,2021-03-01
2021,4,2.1925999999999997,2021-04-01
2021,5,2.95,2021-05-01
2021,6,3.91035,2021-06-01
2021,7,3.2019,2021-07-01
2021,8,3.068,2021-08-01
2021,9,2.8489,2021-09-01
2021,10,2.597,2021-10-01
2021,11,2.1554,2021-11-01
2021,12,1.142,2021-12-01
2022,1,1.0151,2022-01-01
2022,2,0.8338,2022-02-01
2022,3,1.3776,2022-03-01
2022,4,2.2115,2022-04-01
2022,5,2.8187,2022-05-01
2022,6,3.1903,2022-06-01
2022,7,3.3535,2022-07-01
2022,8,2.9637,2022-08-01
2022,9,2.9003,2022-09-01
2022,10,2.2296,2022-10-01
2022,11,1.7402,2022-11-01
2022,12,1.432,2022-12-01
2023,1,1.1057,2023-01-01
2023,2,1.5227,2023-02-01
2023,3,1.6495,2023-03-01
2023,4,2.7009,2023-04-01
2023,5,3.6254,2023-05-01
2023,6,4.3958,2023-06-01
2023,7,4.5589,2023-07-01
2023,8,4.6858,2023-08-01
2023,9,4.8308,2023-09-01
2023,10,4.5136,2023-10-01
2023,11,2.9184,2023-11-01
2023,12,1.3595,2023-12-01
