city_en,cases_year_min,cases_year_max,n_case_months,n_case_months_pos,bi_year_min,bi_year_max,n_bi_months,bi_mean,bi_coverage_ratio_vs_cases
Chaozhou,2004,2023,229,49,,,,,
Dongguan,2004,2023,229,72,2016.0,2017.0,24.0,2.3222484583333336,0.10480349344978165
Foshan,2004,2023,229,87,,,,,
Guangzhou,2004,2023,229,165,2006.0,2023.0,130.0,5.059161923076923,0.5676855895196506
Huizhou,2004,2023,229,25,2015.0,2015.0,9.0,4.859812222222222,0.039301310043668124
Jiangmen,2004,2023,229,45,2015.0,2017.0,36.0,5.97460388888889,0.1572052401746725
Jieyang,2004,2023,229,30,2008.0,2010.0,18.0,13.10268222222222,0.07860262008733625
Maoming,2004,2023,229,33,2017.0,2018.0,18.0,4.841056303,0.07860262008733625
Qingyuan,2004,2023,229,34,,,,,
Shantou,2004,2023,229,44,2010.0,2014.0,44.0,10.209772727272728,0.19213973799126638
Shenzhen,2004,2023,229,119,2012.0,2022.0,87.0,5.271850341954023,0.3799126637554585
Yangjiang,2004,2023,229,26,,,,,
Zhanjiang,2004,2023,229,39,,,,,
Zhaoqing,2004,2023,229,34,,,,,
Zhongshan,2004,2023,229,74,,,,,
Zhuhai,2004,2023,229,56,,,,,
