idx,complexity,loss_distill,equation,r2_real,r_real,rmse_real
1,3,0.0128171185167775,T * 0.024677359617296387,0.1783466337649594,0.44429614024289255,0.3025974910479958
2,5,0.0097297787215531,(T / Tm) + -0.34041663676353856,0.17677492809405104,0.44560254221753953,0.30288676569441225
3,6,0.0076117137167535,cos((T / Tm) + -1.8727950944356548),0.20557792360186555,0.45348640314075356,0.2975408885128811
4,7,0.0065020918962202,(29.41168236375941 / Tm) + (-13.163654065758779 / T),0.19580178206111276,0.44982903425235354,0.2993660565535093
5,8,0.006289550179265,((sqrt(T) * 7.274934137717899) / Tm) - 0.8152564207241239,0.18677245495096706,0.4379851561675218,0.30104196737748756
6,9,0.005720114612359,cos(((sqrt(T) * -8.928684140801993) / Tm) - -2.647432967876355),0.19622585857665054,0.44982939409388356,0.29928711404136416
7,11,0.0043486774497575,(34.424336090933835 / Tm) + ((-12.979019044659422 / T) - (13.55118807312215 / H)),0.18555749024044432,0.4598388306259798,0.3012667623078788
8,13,0.0039927885186066,((40.65996777604873 / Tm) + (-26.1418016508191 / (T - -8.288938487247691))) - (12.675673949532309 / H),0.17334449873440316,0.4517090663948925,0.3035171834934853
9,14,0.0038787234438982,(((sqrt(T) / Tm) * 7.261642101109054) + (-47.090898967758136 / Hm)) - (13.140454336000113 / H),0.179935768770369,0.4565688166877177,0.3023047270804497
10,15,0.0032491221783294,(-23.229073990353353 / (sqrt(R) + H)) + (((sqrt(T) * 7.2684058474117474) / Tm) - 0.5372109728740552),0.19522730840073899,0.46000584953043994,0.29947296254298356
11,17,0.0027565797360605,((-42.111699482484646 / Hm) + ((7.300733706910671 / Tm) * sqrt(T))) - (23.068151157318905 / (sqrt(R) + H)),0.1958157373439119,0.46236441559307545,0.29936345908685824
12,19,0.0024540606331237,(-64.0761987357611 / (Hm + sqrt(Rm + R))) + ((sqrt(T) * (7.363467072692742 / Tm)) - (12.80238099285602 / H)),0.20446382515985073,0.4618487960673649,0.297749451260041
13,21,0.0023736879069578,(((sqrt(T) + 0.4542353562762662) * 7.154181806625658) / Tm) + ((-72.38212288775709 / (sqrt(Rm + R) + Hm)) - (13.342996340770787 / H)),0.20383410688797754,0.46044553464079013,0.29786727191123025
14,23,0.0023173412633884,(((sqrt(T + 3.1849707382151533) * 7.690831243693372) / Tm) - (12.981342472506494 / H)) + (-83.22454946270572 / (Hm + sqrt(Rm + (R + Rm)))),0.20183337186774375,0.4588514961623699,0.29824130171767693
15,25,0.0023168315021285,(((sqrt(T + 3.1451243228096257) * 7.697229036457768) / Tm) - (12.99525246475204 / H)) + (-83.22856108530962 / (Hm + sqrt(Rm + (R + (Rm + -1.7600823295155574))))),0.20191227516164312,0.4589067330805143,0.2982265599320303
