Complexity,Loss,Equation
1,6.4862841743765465,"3.775485711996399"
3,3.77853167869641,"R / 123.43995419514896"
5,1.6637220865370037,"(R / H) / 1.842900653313291"
6,1.4538573341734373,"sqrt(R / (H + -37.45112283206086))"
7,1.273558898471501,"(R / H) / (H / 31.718101191634158)"
8,1.213199700506706,"sqrt(exp((7.9471356542763765 / H) * sqrt(R)))"
9,0.9274704207592517,"(((R - -603.354991470515) * 0.43436380984160616) / H) - 3.2022788848613364"
10,0.8900357662694559,"(R / H) / sqrt(H / (371.95926681538396 / T))"
11,0.7343263881616018,"((R - -131.5465093836416) * 0.297806323464086) / (T + (H + -40.21677069320558))"
12,0.653653347276916,"((R + 130.4016093846497) / H) / sqrt(H / (250.19571987439963 / T))"
14,0.5296065283401825,"((T + ((75.39755250743457 / T) * (R / H))) / sqrt(H)) - 2.0513855142579445"
16,0.38664812799182796,"((((((R / H) + -4.620244484596671) * 70.6672568060832) / T) + 58.042852948172445) / sqrt(H)) + -4.36606849858132"
17,0.3641596157121711,"((((((R / H) + -9.676841417451582) / T) * 70.51619438227208) + 77.607883248999) / sqrt(H)) - sqrt(T)"
18,0.3572648458412511,"(((((91.28020611855077 / T) + -1.083195722082105) * ((R / H) + -5.148053664917921)) + 61.13156290453786) / sqrt(H)) + -4.506042487178788"
19,0.32706005473632954,"(((((96.57007145900029 / T) + -1.3508995789335594) * ((R / H) + -8.9665275345614)) + 75.01092268219655) / sqrt(H)) - sqrt(T)"
21,0.32436016329351325,"(((((R / (H - -2.8562269764336796)) + -8.668754846225086) * ((97.05870190681462 / T) + -1.1976717220776452)) + 75.42216008091663) / sqrt(H)) - sqrt(T)"
23,0.32141360408269276,"(((((R / H) + -8.890983843868236) * (((77.48522288519246 / (T + 9.6883845716227)) + -1.33915712119646) / 0.3546383115570764)) + 74.77003816352206) / sqrt(H)) - sqrt(T)"
25,0.3173444619962841,"(((((77.48501069120373 / (T + 9.72919738641026)) + -1.3604725341156834) * (((R / (H + 3.1483787919770787)) + -8.418184868398548) / 0.3269751689726162)) + 74.7680281426494) / sqrt(H)) - sqrt(T)"
