week,temperature,observed,predicted,M,R0,phi,mu_m,a,b,c
0,15.16995951417,2.0,0.00011666666666666667,140000.0,0.0,3.5844020323558645,0.08331773660017416,0.03951728143894209,0.0,0.15727635948841184
1,15.16995951417,2.0,0.20680600433380497,311170.5870175064,0.0,3.5844020323558645,0.08331773660017416,0.03951728143894209,0.0,0.15727635948841184
2,15.16995951417,2.0,0.733889063126394,473745.2175960694,0.0,3.5844020323558645,0.08331773660017416,0.03951728143894209,0.0,0.15727635948841184
3,15.16995951417,2.0,1.4683502605019823,655366.6906122161,0.0,3.5844020323558645,0.08331773660017416,0.03951728143894209,0.0,0.15727635948841184
4,17.0125,1.5,2.326094245380602,877123.6344799044,6.52543001175892e-06,4.425246875000001,0.06730509374999999,0.10868024320252948,0.0007413137091876995,0.26687002863707227
5,17.0125,1.5,3.2454089923875644,1386640.0029631925,1.0316016961744291e-05,4.425246875000001,0.06730509374999999,0.10868024320252948,0.0007413137091876995,0.26687002863707227
6,17.0125,1.5,4.181812269825423,2146761.8541871184,1.5971003038492167e-05,4.425246875000001,0.06730509374999999,0.10868024320252948,0.0007413137091876995,0.26687002863707227
7,17.0125,1.5,5.1040007749348035,3276249.307854979,2.4373913458799946e-05,4.425246875000001,0.06730509374999999,0.10868024320252948,0.0007413137091876995,0.26687002863707227
8,18.881592920354,1.5,5.990676026778788,4958182.850126376,0.02998617082593093,5.139461188190154,0.05522412895606538,0.18502535874573756,0.11759421637371051,0.3871556977499474
9,18.881592920354,1.5,6.829599923529199,8769296.845608963,0.05303508184032084,5.139461188190154,0.05522412895606538,0.18502535874573756,0.11759421637371051,0.3871556977499474
10,18.881592920354,1.5,7.615038772443018,14845756.976458373,0.08978438637554281,5.139461188190154,0.05522412895606538,0.18502535874573756,0.11759421637371051,0.3871556977499474
11,18.881592920354,1.5,8.345641243226853,24195714.94733559,0.1463311990698049,5.139461188190154,0.05522412895606538,0.18502535874573756,0.11759421637371051,0.3871556977499474
12,22.8604166666667,1.25,9.024824685205049,37884700.597372495,5.904089616164795,6.19448532986112,0.04346752343749993,0.35286629853708884,0.3885021445009515,0.6535020816314598
13,22.8604166666667,1.25,9.995911735296962,71212535.96109048,11.09802077036334,6.19448532986112,0.04346752343749993,0.35286629853708884,0.3885021445009515,0.6535020816314598
14,22.8604166666667,1.25,11.853671612024414,115364639.13768497,17.97884521364395,6.19448532986112,0.04346752343749993,0.35286629853708884,0.3885021445009515,0.6535020816314598
15,22.8604166666667,1.25,15.390434698542919,168558922.57034194,26.2688359355413,6.19448532986112,0.04346752343749993,0.35286629853708884,0.3885021445009515,0.6535020816314598
16,26.4127125506073,2.0,22.164096444821507,227772422.58339244,122.67773430221172,6.601356120047866,0.049022879151600585,0.4803720250441715,0.6158368361082489,0.8670599419109452
17,26.4127125506073,2.0,55.415429054767756,309973158.90246147,166.95087314501816,6.601356120047866,0.049022879151600585,0.4803720250441715,0.6158368361082489,0.8670599419109452
18,26.4127125506073,2.0,219.95989977948292,390607101.4046181,210.38014022583747,6.601356120047866,0.049022879151600585,0.4803720250441715,0.6158368361082489,0.8670599419109452
19,26.4127125506073,2.0,1103.8640744505713,469973354.2117275,253.12663237796792,6.601356120047866,0.049022879151600585,0.4803720250441715,0.6158368361082489,0.8670599419109452
20,29.3113333333333,1.5,6700.658474594643,547647284.0889367,381.61284108025774,6.559381431111117,0.06477522373333311,0.5352095243405405,0.7466213903202047,0.9848943583723836
21,29.3113333333333,1.5,81914.86649773247,627405558.2950752,437.1901853011776,6.559381431111117,0.06477522373333311,0.5352095243405405,0.7466213903202047,0.9848943583723836
22,29.3113333333333,1.5,972031.3035312934,699884613.9331217,487.69520768408285,6.559381431111117,0.06477522373333311,0.5352095243405405,0.7466213903202047,0.9848943583723836
23,29.3113333333333,1.5,3202750.5350863226,768100871.8007762,535.2298175124621,6.559381431111117,0.06477522373333311,0.5352095243405405,0.7466213903202047,0.9848943583723836
24,28.8492741935484,3.75,4827764.966401297,832707307.9507883,580.8114412480779,6.588589183012488,0.06158869547736734,0.5312186402734367,0.7312934613291098,0.9714316990496928
25,28.8492741935484,3.75,5819689.623789242,894861802.6613169,624.1640590384835,6.588589183012488,0.06158869547736734,0.5312186402734367,0.7312934613291098,0.9714316990496928
26,28.8492741935484,3.75,6345182.930660398,954402887.3793172,665.6938293411353,6.588589183012488,0.06158869547736734,0.5312186402734367,0.7312934613291098,0.9714316990496928
27,28.8492741935484,3.75,6532797.078625547,1010930707.5857613,705.1218545442687,6.588589183012488,0.06158869547736734,0.5312186402734367,0.7312934613291098,0.9714316990496928
28,28.9476113360324,14.5,6481026.085441589,1064453061.9682447,743.3303784328558,6.583088428395815,0.06224540382828758,0.5322527803869471,0.7347708618547983,0.9744995278002802
