week,temperature,bi,bi_normalized,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,M_total,S_h,E_h,I_h,R_h,R0
0,15.16995951417,3.366666666666667,0.9946975464126836,1.8475750577367205,12.933025404157043,163784613.58450428,49135384.07535128,14003584.461475115,442218.4566781615,294812.3044521077,14740615.222605385,13999980.600461893,6.466512702078522,12.933025404157044,9.80792336235936e-10,5.016116758693057e-05
1,15.780418109050386,3.366666666666668,0.9946975464126838,1.7409021329251315,11.767424884947538,114403558.48503155,42243266.17547514,4280288.792514299,32128.72178731069,75703.21006849839,4388120.724370109,13999969.014205571,6.924653701838876,11.76742488494754,12.293715841949554,4.249475829505795e-05
2,16.24559243995791,3.366666666666668,0.9946975464126838,1.6342292081135426,8.722763009991317,78018208.81814855,34326581.25462482,3098279.3844115655,2794.327698790984,16091.576505528963,3117165.288615885,13999965.102640618,3.470669066674164,8.722763009991318,22.703927305695693,4.945827678427637e-05
3,16.60953670415942,3.3666666666666676,0.9946975464126837,1.5275562833019536,5.09173208753369,64513414.45893136,27628070.072141644,2866493.1095280447,276.79344061754495,3490.4274819207494,2870260.3304505832,13999963.999466056,1.3541736024203168,5.091732087533691,29.554628254041823,6.063324721021084e-05
4,16.916305098921775,3.366666666666667,0.9946975464126836,1.4208833584903648,2.5594967555088024,62291581.58448722,23447690.695951607,2757291.7964856843,30.228490092737985,798.2274994653714,2758120.2524752426,13999963.698043667,0.4708942107809601,2.5594967555088024,33.27156536693024,7.269616947453729e-05
5,17.209951821511844,3.366666666666667,0.9946975464126836,1.3856812933025404,1.172379874033212,65478702.24330939,21686642.888598677,2774731.110680602,3.5753250997174013,193.6574321057888,2774928.3434378076,13999963.614196317,0.15447304227314082,1.172379874033212,35.05895076642325,8.803299204016947e-05
6,17.534531069196476,3.366666666666666,0.9946975464126832,1.3856812933025404,0.5058621029939694,73888243.90220432,22065868.251423355,3008117.88904748,0.45698035821748967,50.08115378734587,3008168.4271816257,13999963.589687707,0.049383999177202216,0.5058621029939694,35.85506619092621,0.00011231730528308747
7,17.934097039242538,3.3666666666666654,0.994697546412683,1.3856812933025404,0.20989324466508413,91600895.6311775,24959867.180397507,3610104.129200862,0.06580565587432599,13.943162485980569,3610118.1381690037,13999963.58192806,0.015782993412999997,0.20989324466508413,36.19239570246319,0.00015689983812297847
8,18.452703928916883,3.3666666666666663,0.9946975464126833,1.3856812933025404,0.08491365934805224,130101499.17155828,32304792.18990381,4967039.94663042,0.01478654776623605,4.24975587733548,4967044.211172845,13999963.579177037,0.005183404455939048,0.08491365934805224,36.33072589931456,0.0002493602571921855
9,19.13368298417142,3.366666666666667,0.9946975464126836,1.3675468960845703,0.03384577973793459,224302243.43489853,50528971.072221264,8262623.731737767,0.012640248469385076,1.4522026734032798,8262625.1965806885,13999963.5780452,0.0018165165118828026,0.03384577973793459,36.386292503193665,0.00046968182611821285
10,19.978999774773033,3.366666666666668,0.9946975464126838,1.3142104336787759,0.013421964119639265,503525288.2748906,103502010.0129476,17930783.37981416,0.031234031225076283,0.5774630202002649,17930783.98851121,13999963.577484312,0.0007193820458939373,0.013421964119639267,36.408374342298515,0.0010722617570103237
11,20.927633638471473,3.3666666666666685,0.9946975464126839,1.2608739712729813,0.005364762470003183,1511710226.102485,295671929.6582359,54428514.07816221,0.12421559623102608,0.300075409956118,54428514.502453215,13999963.57713502,0.0003516479177607605,0.005364762470003183,36.41714856874525,0.0029257089115418697
12,21.913275758852993,3.3666666666666685,0.9946975464126839,1.207537508867187,0.0022365099970608504,5175024465.563228,1075969687.5482101,223002551.88063318,0.6867298888845054,0.3542939470869962,223002552.921657,13999963.576781353,0.0002812440323561959,0.0022365099970608504,36.420700892988656,0.008972527840514269
13,22.869617336177477,3.3666666666666676,0.9946975464126837,1.1563345049576241,0.0012751263630204266,15008393389.764814,3695157858.3167753,969382129.6132244,4.215587922575962,1.438458180470918,969382135.2672706,13999963.575589295,0.000818011980642223,0.0012751263630204266,36.422317566179665,0.026520606858421083
14,23.7475283575764,3.3666666666666636,0.9946975464126825,1.3163438921750075,0.002978502462456029,34119003479.34346,9937776356.681654,3481387234.4196734,21.546657017777967,7.817423453236601,3481387263.783754,13999963.567672892,0.005269976836463153,0.002978502462456029,36.424078629158764,0.0655990420303219
15,24.56456336012249,3.36666666666666,0.9946975464126815,1.476353279392391,0.016162806696804054,63916118818.28932,21194792156.80866,9767357830.341927,82.00673119565313,34.7685703256134,9767357947.117228,13999963.521917822,0.03002135392970581,0.016162806696804054,36.43189801753404,0.13328272001282032
16,25.35445528354592,3.3666666666666596,0.9946975464126814,1.6363626666097744,0.0756945226410386,104088432629.63477,37969689609.775505,22231872954.038406,238.7005545620846,119.86971265227622,22231873312.608673,13999963.324559104,0.12834229418035625,0.0756945226410386,36.47140407948107,0.2285996602385093
17,26.150937067576848,3.366666666666664,0.9946975464126826,1.7963720538271577,0.2743871989999904,152794404733.99957,59810836182.48187,42895418383.340034,558.4850676669124,330.23652526651955,42895419272.06163,13999962.67615987,0.420366675827272,0.2743871989999904,36.62908625529325,0.3388390246579933
18,26.98149788505807,3.366666666666676,0.9946975464126862,1.77503746886484,0.7889043871865117,206494753653.00446,85289565848.42929,72324256037.3684,1090.3376744543707,751.6039547827698,72324257879.31003,13999960.991688967,1.0942065924294695,0.7889043871865118,37.125200053632916,0.4386868938076979
19,27.80444602255497,3.3666666666666907,0.9946975464126905,1.668364544053251,1.8467166409679288,259368677346.3432,111817764455.87315,108247475107.33484,1811.1362191052735,1442.7223074710398,108247478361.19336,13999957.447041474,2.3176523520221743,1.8467166409679288,38.38858953272716,0.5004737650047576
20,28.535021373381152,3.3666666666666973,0.9946975464126925,1.561691619241662,3.5771632415044006,303314924744.1279,135609003330.58052,144693729279.80118,2578.8642844673186,2359.0742695310237,144693734217.73975,13999951.33838641,4.040910978434697,3.577163241504401,41.0435393692136,0.5176399142278988
21,29.08781314722587,3.3666666666666876,0.9946975464126896,1.4550186944300731,5.825176632025173,332278437982.76526,153284275775.6897,174277084391.7897,3194.5833714029927,3324.571356847045,174277090910.94443,13999942.556417733,5.904482840300464,5.825176632025173,45.7139227942435,0.5082955495982865
