week,temperature,bi,observed_cases,predicted_cases,L,P,S_m,E_m,I_m,S_h,E_h,I_h,R_h,R0
0,15.16995951417,3.366666666666667,1.8475750577367205,1.8475750577367205,254260880.15978292,76278264.04793487,21739305.25366144,686504.3764314138,457669.58428760926,13999997.228637414,0.9237875288683602,1.8475750577367205,-6.581630795921001e-10,4.007038678785536e-05
1,15.780418109050386,3.366666666666668,1.7409021329251315,5.316503121186629,216708381.6929169,68498533.08906357,6730677.462847306,49876.82717591305,117522.41012403448,13999985.696686275,5.5328519047140015,5.316503121186629,3.453958698796007,3.4159599022570285e-05
2,16.24559243995791,3.366666666666668,1.6342292081135426,5.751972721659899,165474153.75806737,59775766.74189628,5159289.942401716,4337.94079804674,24980.68418407318,13999981.80347657,3.11918437705994,5.751972721659899,9.325366331106064,4.091072670627393e-05
3,16.60953670415942,3.3666666666666676,1.5275562833019536,3.8477176748115722,154387791.8680391,52759956.738893405,5168227.017021819,429.6983416231161,5418.573972261532,13999980.705475587,1.2651626796138111,3.8477176748115722,14.1816440581768,5.219383760641112e-05
4,16.916305098921775,3.366666666666667,1.4208833584903648,2.0635423283517302,167876579.7241169,50435044.392181754,5501148.163569562,46.92688529580414,1239.1764895511901,13999980.405466987,0.44830229117486337,2.0635423283517302,17.082688393653306,6.583169471027755e-05
5,17.209951821511844,3.366666666666667,1.3856812933025404,0.9801939531311953,199328902.84427118,53609439.65973706,6271634.667763496,5.550087577096966,300.6362704454098,13999980.322012018,0.14872242170675648,0.9801939531311953,18.549071606749695,8.485417753237947e-05
6,17.534531069196476,3.366666666666666,1.3856812933025404,0.43267769652122245,257130267.9048306,63510004.35308377,7845424.313408548,0.7094722632419366,77.74663583033059,13999980.297618361,0.047913020067914584,0.43267769652122245,19.221790922220904,0.00011629436344673195
7,17.934097039242538,3.3666666666666654,1.3856812933025404,0.18233252930890573,369447395.2086802,84668418.45643055,11024977.423716338,0.10305912113325692,21.645749789253788,13999980.289895063,0.015403372078617302,0.18233252930890573,19.51236903534632,0.00017579387775081023
8,18.452703928916883,3.3666666666666663,1.3856812933025404,0.07460886473703673,614379160.161231,130879955.48463337,18028134.951835517,0.026238428099069632,6.598349616600498,13999980.287156822,0.005083813972281214,0.07460886473703673,19.633150499130796,0.00030458350446258003
9,19.13368298417142,3.366666666666667,1.3675468960845703,0.03001084286868825,1236738909.8596363,246556899.98302373,36152296.33147724,0.03126709106226819,2.2580738892305083,13999980.286029698,0.0017897927052925135,0.03001084286868825,19.682169666098837,0.0006298909404978136
10,19.978999774773033,3.366666666666668,1.3142104336787759,0.011999751854097875,3085260505.7538204,595137280.780911,94466798.69429822,0.09821770382163049,0.911928423397762,13999980.285468293,0.0007134923304758044,0.011999751854097875,19.70181846246151,0.0015779507850134868
11,20.927633638471473,3.3666666666666685,1.2608739712729813,0.004844411709039691,8730425994.437578,1777326377.374373,322208387.3093497,0.45684441592947317,0.5467512096325974,13999980.285099015,0.0003631923236761642,0.004844411709039691,19.70969338132743,0.00456392995013713
12,21.913275758852993,3.3666666666666685,1.207537508867187,0.0020963222272191834,23184350227.51907,5439017683.693885,1232208540.6452775,2.524404881454658,1.020840356662665,13999980.28457402,0.00039460424674246463,0.0020963222272191834,19.712935052872073,0.01352242806955544
13,22.869617336177477,3.3666666666666676,1.1563345049576241,0.0016213877327852652,53102323050.44511,14543808499.335266,4336026727.537725,13.055797604153184,4.65297069519225,13999980.282113288,0.0016531224394983435,0.0016213877327852652,19.71461220222982,0.03596123538334402
14,23.7475283575764,3.3666666666666636,1.3163438921750075,0.005464391805174094,104726525206.5558,32700424632.33219,12819485568.641483,54.72446435352097,21.67430409527845,13999980.267156398,0.009844263834526551,0.005464391805174094,19.717534946436473,0.08070664691324653
15,24.56456336012249,3.36666666666666,1.476353279392391,0.027229063422302337,180805814020.42935,62609823542.87564,31512074135.46848,179.61744974828486,82.60767343383442,13999980.193442166,0.04804548810173845,0.027229063422302337,19.731283282624364,0.15348872084627666
16,25.35445528354592,3.3666666666666596,1.6363626666097744,0.11235627896536773,280460450259.1744,105152842002.7982,65895303337.74178,473.5450946990251,254.4784152919211,13999979.913268393,0.1816991330329523,0.11235627896536773,19.792676195096085,0.2523291699941101
17,26.150937067576848,3.366666666666664,1.7963720538271577,0.3698561141407526,399337658864.1073,159155666873.32306,120328910575.16402,1037.7586830252355,648.5050898592984,13999979.071725288,0.545441480369908,0.3698561141407526,20.012977117083324,0.36385272740899177
