week,observed_cases,predicted_cases,Lambda_v,R0,N_v,I_v,I_h
0,1.3856812933025404,1.1938057844476146,1681.8604,0.03150337821358329,33637.20703125,336.3720703125,1.1926131712763384
1,1.3675468960845703,367.98375795040556,1680.2255,0.03147275469281695,33632.104058108656,475.7780107013327,367.616141808597
2,1.3142104336787759,802.8259670431584,1671.4857,0.03130904816009186,33596.645717838,419.45801642970093,802.0239431000583
3,1.2608739712729813,960.2098157436216,1658.2214,0.031060591325178726,33505.891658836656,326.272496776227,959.2505651784431
4,1.207537508867187,904.0885317320085,1650.9749,0.0309248536497682,33382.423102981156,242.089652170484,903.185346385623
5,1.1563345049576241,754.8356325704859,1627.0309,0.030476352718326594,33200.42715918513,176.1915813721216,754.0815510194665
6,1.3163438921750075,590.0552718719753,1592.7599,0.0298344134808063,32898.45017176805,127.22485519923016,589.4658060659094
7,1.476353279392391,444.4089489158252,1590.702,0.029795867127257507,32583.915085295233,91.58418781101176,443.96498393189336
8,1.6363626666097744,327.73680915030377,1617.2643,0.030293411879868178,32439.594431883957,65.85447590035169,327.40939975055323
9,1.7963720538271577,238.8591825263456,1620.724,0.030358216764924527,32422.54572757923,47.33820488676106,238.6205619643812
10,1.77503746886484,172.95784139881434,1631.3457,0.030557174758834914,32453.386071563113,34.027627854099336,172.78505634247188
11,1.668364544053251,124.80341623207772,1609.5006,0.03014798845563616,32436.350428631944,24.461632112690072,124.67873749458315
12,1.561691619241662,89.89275702514377,1597.6304,0.02992564381419362,32326.516470182618,17.58610240828617,89.8029540710727
13,1.4550186944300731,64.68793080621947,1578.8704,0.02957424502987247,32157.486261613038,12.643353917953359,64.62330749872075
14,1.5536911498807937,46.52862596925788,1541.0571,0.028865955211780408,31867.98538069993,9.089485018249226,46.48214382543245
15,2.033719311532944,33.458672647490225,1533.3761,0.02872207976959564,31534.85165439799,6.533889582683662,33.425247400090136
16,2.5137474731850937,24.056073328428337,1514.0833,0.028360700273847246,31218.412548748838,4.6961291398984795,24.032041287141197
17,2.9937756348372435,17.293268311454057,1510.6481,0.028296354981688233,30931.034280310643,3.374706983373093,17.27599231913492
18,3.510072590925333,12.429815080894347,1522.463,0.028517663824212898,30755.890660932502,2.4247190228780897,12.417397683211137
19,5.803540474374495,8.932772838011925,1549.0944,0.02901650275383796,30748.54692973484,1.741937004715719,8.923848989022902
20,8.097008357823656,6.418699182976849,1597.1338,0.029916342202719156,30967.58783762001,1.2513544819428994,6.412286896080769
21,10.390476241272818,4.611710928672251,1640.0356,0.030719948386574363,31389.643242447997,0.8989801837043034,4.607103824847403
22,12.683944124721979,3.313279211299407,1646.3818,0.0308388206032249,31826.175395975417,0.6459333074202233,3.30996924205735
23,53.25165743056914,2.380501074172669,1652.2769,0.030949241798240823,32169.88788319461,0.46421113473054093,2.378122951221448
24,111.01504621604458,1.7104998746442435,1639.8118,0.030715754887202643,32389.526391981115,0.333680986766972,1.708791083560683
25,168.77843500152002,1.229250350798864,1620.7363,0.03035844770463911,32450.018679356028,0.23989231373889724,1.2280223284703937
26,226.54182378699545,0.8835355274802477,1603.1058,0.03002820619931826,32384.495412168093,0.17248046689857546,0.8826528746056421
27,248.20709481622922,0.6351325983835419,1591.7999,0.02981643219451447,32253.96509866355,0.12401421956828533,0.6344981002832587
28,205.69793427881103,0.4566076053288501,1577.8511,0.02955515248911245,32086.941161888124,0.08916367904359206,0.45615145387497513
29,163.18877374139282,0.32827605276353256,1566.656,0.029345454655208072,31895.46390343006,0.06410233570131713,0.32794810465887375
30,120.67961320397461,0.23601145106765975,1556.7991,0.02916082178319727,31698.589854116413,0.046080697537281216,0.23577567539226751
31,79.01850241880855,0.16967145247004722,1551.8297,0.02906773935902964,31516.91061644168,0.033122151810867,0.1695019505195277
32,64.77766695646142,0.12197047407607081,1553.4385,0.02909787356198489,31380.075892071207,0.02380524349163043,0.1218486254506202
33,50.53683149411429,0.08767265940028389,1578.4297,0.029565990649975026,31366.246900870283,0.017107584388309748,0.08758507432595794
34,36.29599603176716,0.06301392418456955,1601.9197,0.03000598796954998,31499.41642713085,0.012293827605061406,0.0629509732113582
35,22.055160569420032,0.04528760078294866,1616.8855,0.0302863167716073,31705.35339623251,0.008834789704366965,0.04524235842452414
36,15.24409432020011,0.03254676451629553,1628.0078,0.030494651832542456,31926.859435479706,0.006349488130077643,0.032514250266029505
37,11.617214876606091,0.023390555533472388,1631.4105,0.03055838890723534,32124.503113637405,0.004563803936145244,0.02336718834512726
38,7.990335433012072,0.016811020598421787,1644.979,0.030812543779462725,32315.657303866094,0.0032806786934932333,0.01679422637204974
39,4.363455989418052,0.012083151381980548,1658.7885,0.031071212265517685,32531.248905118195,0.0023585736795533217,0.01207108030167887
40,2.039052957773523,0.008685732745875434,1675.8317,0.03139045326621621,32774.84541297012,0.0016958500254437116,0.008677055690185249
41,1.932380032961934,0.006244221378197763,1691.8369,0.03169025188678509,33043.93056707901,0.001219502999970186,0.006237983394802961
42,1.825707108150345,0.00448952857631402,1696.6917,0.03178118725756665,33293.2302213835,0.0008770833824954515,0.0044850435327812395
43,1.7190341833387561,0.003228334190025159,1696.0775,0.031769683715942264,33480.489172619906,0.0006309001957781034,0.003225109080944215
44,1.6336958434894844,0.0023217420611542218,1693.8267,0.03172752235557411,33603.71935211261,0.0004538721331906946,0.0023194226385157063
45,2.0603875427358402,0.0016699577665508277,1675.4707,0.031383691991602146,33626.906125602574,0.00032654728352234845,0.0016682894770737543
46,2.4870792419821965,0.0012012863917201105,1671.999,0.0313186630264267,33581.37625635449,0.0002349519232459976,0.0012000863054146959
47,2.9137709412285524,0.0008642229753069858,1652.6772,0.03095674162263518,33479.22393431274,0.0001690496159367742,0.0008633596156912946
48,3.3404626404749083,0.0006217688936208056,1648.0961,0.03087093036967915,33339.20048687755,0.00012162856535110219,0.0006211477458749307
49,3.236989903407667,0.0004473433024677016,1645.191,0.030816515485247175,33218.691562212094,8.750476436932855e-05,0.00044689640606164
50,2.9169711289729,0.00032184592152162004,1660.7546,0.031108041433663993,33174.35348117916,6.295068074013276e-05,0.00032152439712449557
51,2.596952354538134,0.00023154803067938176,1667.9185,0.03124222884049544,33208.7643939864,4.5284671002046416e-05,0.00023131671396541635
52,2.276933580103367,0.00016657816567297264,1681.7002,0.03150037828382555,33296.015500744346,3.25760769413582e-05,0.0001664117539190536
53,2.037986228525407,0.00011983491819627049,1693.6598,0.03172439666656585,33433.236165543145,2.3434597152961915e-05,0.00011971520299327722
54,1.9313133037138184,8.620762886370644e-05,1665.0985,0.031189407668747268,33473.90873583741,1.685926395591661e-05,8.61215073563501e-05
55,1.8246403789022294,6.201749506031071e-05,1626.2659,0.030462023023363354,33301.7846223774,1.2129223627970757e-05,6.195553952078993e-05
56,1.7179674540906404,4.461605045364481e-05,1580.0205,0.029595788732751625,32927.97865563061,8.725860639227406e-06,4.457147897467014e-05
57,1.6299622911210785,3.209710593899027e-05,1517.9735,0.028433569756659356,32342.002369659596,6.276556384453098e-06,3.2065040898092176e-05
58,1.896644603150051,2.3089530448500756e-05,1488.4595,0.02788073437792676,31664.29265733638,4.5136231627643695e-06,2.3066463984516243e-05
59,2.1633269151790233,1.6607577818776704e-05,1479.0796,0.027705037272298016,31075.32767625647,3.2447986175933917e-06,1.6590986831944762e-05
60,2.4300092272079956,1.194282507711275e-05,1480.4882,0.027731421563056084,30638.599249322368,2.3318786652124325e-06,1.1930894182929821e-05
61,2.6966915392369684,8.586092977946655e-06,1498.2095,0.02806336424805663,30390.156177659046,1.6753279941333302e-06,8.577515462484172e-06
62,2.694558080740737,6.171147355316186e-06,1513.4796,0.028349393373960023,30312.065897451637,1.2033843803634822e-06,6.1649823729432435e-06
63,2.587885155929148,4.434331750613006e-06,1547.9954,0.02899591710779455,30407.40016994218,8.642896988412795e-07,4.429901848764242e-06
64,2.481212231117559,3.185700085622984e-06,1569.4551,0.029397884830013737,30637.63250146707,6.207355952579284e-07,3.182517568054929e-06
65,2.37453930630597,2.28837227878109e-06,1579.0333,0.02957729754986225,30889.48039819738,4.458436007904425e-07,2.286086192588502e-06
66,2.8919029916421772,1.6437149466643265e-06,1588.9279,0.029762634673675934,31124.52799580836,3.2026296081376994e-07,1.6420728737905361e-06
67,4.385323939004422,1.1806817929706523e-06,1585.6586,0.029701396778270557,31307.474772515045,2.300834819234259e-07,1.1795022906799724e-06
68,5.878744886366668,8.481366938410343e-07,1555.6663,0.02913960276783763,31333.542155585077,1.6531514914522023e-07,8.472894044365976e-07
69,7.372165833728914,6.093050406808185e-07,1535.3516,0.02875908271416084,31205.00980084627,1.1878573300262855e-07,6.08696344336482e-07
70,8.833584903647683,4.3775994013535853e-07,1534.9695,0.028751925869540614,31056.750224049305,8.53512559356716e-08,4.3732261751784076e-07
71,9.793641226951983,3.1452557396904294e-07,1546.0156,0.028958834134615384,30985.725542721964,6.132439694479613e-08,3.1421136260643654e-07
72,10.753697550256284,2.2598487162972265e-07,1572.5155,0.02945521046946218,31049.227014087723,4.405931729350005e-08,2.2575911251720548e-07
73,11.713753873560586,1.6236687275076908e-07,1595.3073,0.029882128826983562,31238.898823107556,3.165506396523628e-08,1.622046680826864e-07
74,12.673810196864887,1.1665729465054775e-07,1614.8016,0.030247283386779237,31496.8642819855,2.2744448932780282e-08,1.1654075389665111e-07
75,19.474209153603717,8.381732782455077e-08,1634.716,0.030620303616061672,31795.112373272583,1.6343905844260056e-08,8.373359423032046e-08
76,28.434734837777192,6.022527956296775e-08,1641.6134,0.030749501810445414,32082.212192470415,1.1746251888248993e-08,6.016511444851924e-08
77,37.39526052195067,4.327755098250036e-08,1647.6204,0.030862019755147196,32322.495239023974,8.443269192365978e-09,4.3234316665834524e-08
78,46.355786206124144,3.1102634171177735e-08,1641.0457,0.03073886715091549,32487.982306604303,6.069952684121053e-09,3.1071562608569166e-08
79,49.34262810084856,2.235567655458016e-08,1617.2605,0.030293340997381523,32511.953588037784,4.364252302332788e-09,2.2333343211368793e-08
80,43.368944311399595,1.6070608710068477e-08,1610.8334,0.030172952810129324,32442.636515335213,3.1380479862460925e-09,1.6054554155912568e-08
81,37.39526052195063,1.1553670052729718e-08,1596.9,0.029911963494269403,32332.354464412892,2.2563730635808513e-09,1.1542127924804914e-08
82,31.421576732501666,8.306819885060667e-09,1591.4501,0.02980987899429672,32198.870733692736,1.622359507238461e-09,8.29852136369697e-09
83,25.630837009104557,5.972552636211684e-09,1581.8217,0.029629526509867086,32059.554177779733,1.1664272891122501e-09,5.966586050161523e-09
84,22.270639877539505,4.294185645881687e-09,1572.1265,0.029447923292527784,31904.293451005862,8.38565175532764e-10,4.289895750131555e-09
85,18.91044274597445,3.087349689092824e-09,1574.3312,0.02948922034386512,31774.813170309226,6.028101683923978e-10,3.0842654236691552e-09
86,15.550245614409398,2.2195597199497853e-09,1585.3425,0.029695476947369036,31724.11130179925,4.3330262948082027e-10,2.2173423775722133e-09
87,12.190048482844345,1.5955857657192949e-09,1606.0381,0.030083130980347778,31783.705448914654,3.114448981482194e-10,1.5939917739453496e-09
88,9.579762012704757,1.146960142296005e-09,1608.6414,0.030131893558102054,31891.369647624826,2.2385665317325088e-10,1.1458143279680369e-09
89,7.232957666849799,8.244422423705218e-10,1616.9332,0.03028721080555187,32000.405130432933,1.6090628146812103e-10,8.236186237467752e-10
90,4.886153320994842,5.926079829622449e-10,1620.0726,0.030346015831092737,32110.095864178063,1.1566391224617981e-10,5.920159669952497e-10
91,2.539348975139884,4.259717553320029e-10,1636.2496,0.03064903160194298,32246.698572283603,8.314735654281206e-11,4.255462091228801e-10
92,1.2422062094309525,3.0620239011239263e-10,1645.7037,0.030826118918922875,32417.48028383252,5.977644448765367e-11,3.0589649361877386e-10
93,1.4555520590541304,2.2011922075324292e-10,1663.9103,0.03116715056793792,32621.025914605925,4.297834061610524e-11,2.1989932143181113e-10
94,1.6688979086773084,1.582471240789081e-10,1684.568,0.031554095776050124,32879.670410335886,3.090403503080741e-11,1.5808903504386426e-10
