year,month,observed_cases,predicted_cases,bi,Rt
2015,1,8,0.0,3.366666666666667,1.0555257796550839
2015,2,6,8.90944882862461,3.366666666666667,1.0555257796550839
2015,3,6,10.662902650769725,3.366666666666667,1.0555257796550839
2015,4,5,12.469338732376784,3.366666666666667,1.0555257796550839
2015,5,8,14.581766403028489,3.366666666666667,1.0555257796550839
2015,6,6,17.052005404350517,3.366666666666667,1.0555257796550839
2015,7,15,19.94064318881987,3.366666666666667,1.0555257796550839
2015,8,58,23.318518990947695,3.366666666666667,1.0555257796550839
2015,9,1141,27.268455786609948,3.366666666666667,1.0555257796550839
2015,10,344,31.887283858096055,3.366666666666667,1.0555257796550839
2015,11,77,37.2882046955404,3.366666666666667,1.0555257796550839
2015,12,9,43.60355197372951,3.366666666666667,1.0555257796550839
2016,1,7,50.9880156175885,3.366666666666667,1.0555257796550839
2016,2,15,59.62240569121087,3.366666666666667,1.0555257796550839
2016,3,9,69.71804521398474,3.366666666666667,1.0555257796550839
2016,4,7,81.52189524048879,3.366666666666667,1.0555257796550839
2016,5,12,95.32253187006711,3.366666666666667,1.0555257796550839
2016,6,10,111.45711351780255,3.366666666666667,1.0555257796550839
2016,7,38,130.31949802077645,3.366666666666667,1.0555257796550839
2016,8,56,152.3696931963143,3.366666666666667,1.0555257796550839
2016,9,224,178.1448514984022,3.366666666666667,1.0555257796550839
2016,10,112,208.27204954940976,3.366666666666667,1.0555257796550839
2016,11,49,243.48312655163613,3.366666666666667,1.0555257796550839
2016,12,5,284.6318917140777,3.366666666666667,1.0555257796550839
2017,1,9,332.7140493869499,3.366666666666667,1.0555257796550839
2017,2,6,388.89023068496635,3.366666666666667,1.0555257796550839
2017,3,6,454.5125605045314,3.366666666666667,1.0555257796550839
2017,4,10,531.1552266291337,3.366666666666667,1.0555257796550839
2017,5,11,535.6181771987112,2.276666666666667,0.6516941316177873
2017,6,23,251.17952776952552,2.31,0.664043723300885
2017,7,39,87.06809295089988,2.3833333333333333,0.6912128250037001
2017,8,196,33.2806368453048,2.6199999999999997,0.7788949259536939
2017,9,385,15.627672952204193,2.5566666666666666,0.7554307017558084
2017,10,758,7.252958429732644,2.236666666666667,0.6368746215980701
2017,11,208,2.944349460240119,3.366666666666667,1.0555257796550839
2017,12,11,2.581388285628236,3.366666666666667,1.0555257796550839
2018,1,2,3.0137083552472177,3.366666666666667,1.0555257796550839
2018,2,3,3.5209183844617655,3.366666666666667,1.0555257796550839
2018,3,2,4.113489198501156,3.366666666666667,1.0555257796550839
2018,4,8,4.805785387673495,3.366666666666667,1.0555257796550839
2018,5,24,5.61458842821321,3.366666666666667,1.0555257796550839
2018,6,31,6.559503153744117,3.366666666666667,1.0555257796550839
2018,7,74,7.663432553273196,3.366666666666667,1.0555257796550839
2018,8,349,8.95313233809702,3.366666666666667,1.0555257796550839
2018,9,1211,10.45985865115199,3.366666666666667,1.0555257796550839
2018,10,1262,12.220124524260427,3.366666666666667,1.0555257796550839
2018,11,315,14.276583289421069,3.366666666666667,1.0555257796550839
2018,12,34,16.67906017891437,3.366666666666667,1.0555257796550839
2019,1,34,19.485756875074912,3.366666666666667,1.0555257796550839
2019,2,13,22.76465787185316,3.366666666666667,1.0555257796550839
2019,3,19,26.595172275280675,3.366666666666667,1.0555257796550839
2019,4,39,21.802233277972846,0.57,0.019395037443182533
2019,5,89,3.385965192472213,5.6899999999999995,1.9162923199669963
2019,6,265,12.282778777962449,5.805,1.9588984112736834
2019,7,428,110.85751313727451,5.37,1.7977362398092582
2019,8,1347,757.8579266668457,4.9775,1.6523197977407822
2019,9,1517,3737.253223401989,4.505,1.4772643356328719
2019,10,1786,11909.50036595438,3.67,1.167907063971273
2019,11,473,17557.1262224123,2.1625,0.6093967801031775
2019,12,32,9230.301883219661,3.366666666666667,1.0555257796550839
