city_en,cases_2014,risk_2014
Chaozhou,135,17.708806675290788
Dongguan,288,34.83590843170376
Foshan,3549,467.1383907862543
Guangzhou,37382,2693.9335744892796
Huizhou,37,4.792385013834921
Jiangmen,597,58.84600288762993
Jieyang,86,11.803889978826449
Maoming,93,13.608971719127595
Qingyuan,303,39.15523312504301
Shantou,247,24.881138839906036
Shenzhen,456,33.063506936378616
Yangjiang,296,38.54523673196602
Zhanjiang,230,30.788132340927312
Zhaoqing,278,37.3554644683675
Zhongshan,683,90.73379592876873
Zhuhai,507,66.82756607751028
