city_en,cases_2014,risk_2014,beta_mean_2014,months
Guangzhou,37382,4408.4435268577545,0.1950855232047469,12
Foshan,3549,897.7379685220914,0.19513475606482453,12
Zhongshan,683,173.94118346355083,0.19513231452667293,12
Jiangmen,597,60.155895945406414,0.19509461865218372,12
Zhuhai,507,128.07709604690106,0.1950368178910685,12
Shenzhen,456,509.76192077486246,0.19503890104706254,12
Qingyuan,303,74.91928757948392,0.19462411166584684,12
Yangjiang,296,73.83377150590528,0.19514944233336184,12
Dongguan,288,38.19746302935625,0.19512198411193338,12
Zhaoqing,278,71.53951070544761,0.19488333263536975,12
Shantou,247,47.78359856965628,0.19475654213552476,12
Zhanjiang,230,59.039441000720814,0.19521777335039256,12
Chaozhou,135,33.861380404843786,0.19474093158449682,12
Maoming,93,29.51271400023139,0.1952108065046303,12
Jieyang,86,13.947241696019578,0.19482109797049238,12
Huizhou,37,5.209068539723232,0.1949187789186062,12
