city,months_2014,beta_mean,beta_std,beta_peak_month,risk_2014,risk_std,risk_peak_month,bi_coverage_months,cases_2014,cases_pred_scaled,cases_pred_scaled_nogz,res_with_gz,res_no_gz,abs_res_with_gz,abs_res_no_gz
Guangzhou,12,0.05551868987580141,4.695920334243892e-05,10,0.6663801525815083,0.03863033034684119,6,12,38036,38036.0,596.7492650912517,0.0,-37439.25073490875,0.0,37439.25073490875
Foshan,12,0.055521455593407154,4.55156041599965e-05,10,0.6662574671208858,4.55156041599965e-05,10,0,3542,38028.99729416886,596.6393991863621,34486.99729416886,-2945.360600813638,34486.99729416886,2945.360600813638
Zhongshan,12,0.055511911710103355,3.9525278910803624e-05,10,0.6661429405212402,3.9525278910803624e-05,10,0,679,38022.46028413451,596.5368396129606,37343.46028413451,-82.46316038703935,37343.46028413451,82.46316038703935
Jiangmen,12,0.055512929956118263,4.332758996238105e-05,10,0.6661551594734192,4.332758996238105e-05,10,0,595,38023.15772397163,596.5477817916926,37428.15772397163,1.5477817916926142,37428.15772397163,1.5477817916926142
Zhuhai,12,0.05550778843462467,3.894603259287908e-05,10,0.6660934612154961,3.894603259287908e-05,10,0,505,38019.63607806235,596.4925304611564,37514.63607806235,91.49253046115643,37514.63607806235,91.49253046115643
Shenzhen,12,0.055510516899327435,3.674485933343537e-05,10,0.6660562942602191,0.05005019347397759,4,12,450,38017.51464286438,596.4592471270696,37567.51464286438,146.4592471270696,37567.51464286438,146.4592471270696
Yangjiang,12,0.055509889808793865,3.835303755745317e-05,10,0.6661186777055264,3.835303755745317e-05,10,0,294,38021.07539826281,596.5151120489115,37727.07539826281,302.51511204891153,37727.07539826281,302.51511204891153
Dongguan,12,0.05551848125954469,4.069191561413935e-05,10,0.6662217751145363,4.069191561413935e-05,10,0,287,38026.96004688853,596.6074366819624,37739.96004688853,309.60743668196244,37739.96004688853,309.60743668196244
Zhaoqing,12,0.055501134445269905,4.532899369694335e-05,10,0.6660136133432388,4.532899369694335e-05,10,0,277,38015.078478834024,596.4210259919671,37738.078478834024,319.4210259919671,37738.078478834024,319.4210259919671
Shantou,12,0.055495429784059525,5.2681525936267e-05,10,0.6659503621466021,0.014851539230173934,9,12,246,38011.4681934647,596.364383991207,37765.4681934647,350.364383991207,37765.4681934647,350.364383991207
Zhanjiang,12,0.0555059431741635,3.464923286262258e-05,10,0.666071318089962,3.464923286262258e-05,10,0,230,38018.37218099166,596.4727010982349,37788.37218099166,366.4727010982349,37788.37218099166,366.4727010982349
Huizhou,12,0.05550487836201986,4.9082723078725546e-05,10,0.6660585403442383,4.9082723078725546e-05,10,0,37,38017.642846040035,596.4612585149877,37980.642846040035,559.4612585149877,37980.642846040035,559.4612585149877
Shaoguan,12,0.05549898060659567,7.726987216268136e-05,10,0.6659877672791481,7.726987216268136e-05,10,0,15,38013.60322347123,596.397880615125,37998.60322347123,581.397880615125,37998.60322347123,581.397880615125
