city,months_2014,beta_mean,beta_max,risk_2014,bi_coverage_months,cases_2014,log_cases,log_risk,cases_pred_scaled,cases_pred_scaled_nogz,cases_pred_loglin_nogz
Guangzhou,12,0.05551869049668312,0.055605992674827576,0.6663801525815083,12,38036,10.546314649196058,0.5106537005369443,38036.0,596.7492619719687,4585.268846630121
Foshan,12,0.05552145838737488,0.05560914799571037,0.6662575006484985,0,3542,8.172729104865471,0.5105800940151273,38028.999207875735,596.6394260919242,1390.0365269039191
Zhongshan,12,0.05551191046833992,0.05558734014630318,0.6661429405212402,0,679,6.522092798170152,0.5105113386963558,38022.46028413451,596.5368364947882,455.4208598680307
Jiangmen,12,0.0555129311978817,0.05559320002794266,0.6661551594734192,0,595,6.390240667065349,0.5105186723452746,38023.15772397163,596.5477786734629,513.0288619562341
Zhuhai,12,0.055507782846689224,0.05558208376169205,0.6660934090614319,0,505,6.226536669287466,0.5104816100369117,38019.633101185,596.4924806387944,280.90551071149343
Shenzhen,12,0.055510520935058594,0.05558625981211662,0.666056294260219,12,450,6.111467339502678,0.5104593332459395,38017.51464286437,596.4592440093026,195.46980817012872
Yangjiang,12,0.055509891360998154,0.0555809810757637,0.6661186814308167,0,294,5.686975356339819,0.5104967785608225,38021.0756108969,596.5151122668826,359.4755120306977
Dongguan,12,0.05551848188042641,0.05560072138905525,0.6662217974662781,0,287,5.662960480135946,0.5105586666158681,38026.96132269312,596.6074535796014,981.9008527360274
Zhaoqing,12,0.05550113692879677,0.05559435859322548,0.6660136580467224,0,277,5.627621113690637,0.510433741818323,38015.08103044319,596.421062906761,128.76457213041232
Shantou,12,0.055495429784059525,0.05559198558330536,0.6659503621466022,12,246,5.5093883366279774,0.5103957486708914,38011.46819346471,596.3643808739359,69.10031423449205
Zhanjiang,12,0.055505942553281784,0.055569492280483246,0.6660712957382202,0,230,5.442417710521793,0.5104683373897463,38018.37090518708,596.472677964217,226.3403689203323
Huizhou,12,0.055504877120256424,0.05560573935508728,0.6660585403442383,0,37,3.6375861597263857,0.5104606813891643,38017.642846040035,596.4612553972103,199.81006964646255
Shaoguan,12,0.055498987436294556,0.055600855499506,0.6659878492355347,0,15,2.772588722239781,0.5104182503420245,38013.60790142136,596.3979508903407,99.9510068815002
