city,years,months,temp_mean,humidity_mean,precip_mean
Dongguan,10,120,22.353462584088142,76.75834480992991,5.010960242421032
Foshan,15,180,22.628595152756443,75.72168164509655,4.915662827892249
Guangzhou,15,180,22.467703194613648,76.70837576731347,5.613919100293683
Huizhou,15,180,22.02076838609625,78.35192986328137,5.003088087292759
Jiangmen,15,180,22.68539905744772,77.88324925990665,5.051587456079948
Shantou,15,180,22.06283026260807,80.09329200287209,4.275043633137348
Shaoguan,15,180,20.741710418984056,75.63684022811942,4.981716754653907
Shenzhen,15,180,22.899340997639943,79.23717485919099,4.715750800419043
Yangjiang,15,180,22.831458944682804,79.85480002766154,5.215129363313735
Zhanjiang,10,120,23.412314180659287,79.78672674223564,4.785873686812508
Zhaoqing,15,180,22.38807057371212,78.78314814814816,4.990452042539918
Zhongshan,15,180,22.928751399261966,78.45666394465337,4.721395337853346
Zhuhai,15,180,23.12267280811719,79.90829112005697,4.721432788342132
