city_en,year,month,bi_obs,m_hat_bi
Dongguan,2016,1,1.22393,1.271828160039094
Dongguan,2016,2,1.49406,1.615519711939835
Dongguan,2016,3,1.61478,2.286949007898885
Dongguan,2016,4,3.37739,3.472086294655946
Dongguan,2016,5,4.4834,3.451916696397721
Dongguan,2016,6,4.66387,3.5158432151148213
Dongguan,2016,7,3.68034,3.5868951087517407
Dongguan,2016,8,3.47281,3.49861335528635
Dongguan,2016,9,3.20553,3.459229051104366
Dongguan,2016,10,2.63974,3.4714608829553826
Dongguan,2016,11,1.89502,2.9536313550556517
Dongguan,2016,12,1.29921,2.3440050054958532
Dongguan,2017,1,0.8531,2.17739175391199
Dongguan,2017,2,0.645518,1.9876897056255776
Dongguan,2017,3,0.826103,2.7211842833879007
Dongguan,2017,4,1.8723,3.450880089629831
Dongguan,2017,5,2.14238,3.457341521523612
Dongguan,2017,6,2.29295,3.500026631320998
Dongguan,2017,7,3.27944,3.5055716143258167
Dongguan,2017,8,3.04218,3.5979255101540955
Dongguan,2017,9,2.59447,3.532732319262552
Dongguan,2017,10,2.56616,3.4765364441258435
Dongguan,2017,11,1.6719,3.0300958780060006
Dongguan,2017,12,0.897382,1.9651353958377853
Guangzhou,2006,3,1.696,2.4579410188410047
Guangzhou,2006,4,2.34,3.0821107168003152
Guangzhou,2006,5,4.914,3.0718942774354057
Guangzhou,2006,6,4.915,3.0952446434131513
Guangzhou,2006,7,4.389,3.1906519842368075
Guangzhou,2006,8,9.302,3.1901987319290406
Guangzhou,2006,9,3.222,3.059474870641738
Guangzhou,2006,10,3.398,3.0647167988147683
Guangzhou,2006,11,2.346,2.8927074893387643
Guangzhou,2006,12,0.183,1.7189419917361783
Guangzhou,2007,3,1.295,2.446699314029022
Guangzhou,2007,4,2.524,2.9614897119905943
Guangzhou,2007,5,4.103,3.0588510311854926
Guangzhou,2007,6,4.923,3.100770458759889
Guangzhou,2007,7,4.105,3.336390502693253
Guangzhou,2007,8,6.094,3.1028182429412334
Guangzhou,2007,9,3.464,3.0745670273466845
Guangzhou,2007,10,3.231,3.08161524042911
Guangzhou,2007,11,1.536,2.607533224229605
Guangzhou,2007,12,0.894,1.9580204075256709
Guangzhou,2008,3,6.0745,2.662399574299808
Guangzhou,2008,4,25.335,3.0822657901114088
Guangzhou,2008,5,15.1385,3.0671722606553784
Guangzhou,2008,6,12.7,3.0612458838602397
Guangzhou,2008,7,38.7075,3.144588439128082
Guangzhou,2008,8,22.6105,3.1238551865128996
