city_en,cases_annual,pred_annual
Chaozhou,135,52.71936911794513
Dongguan,288,181.88163458908522
Foshan,3549,3848.542949322233
Guangzhou,37382,35061.09267020049
Huizhou,37,18.847268417463034
Jiangmen,597,694.7229071488598
Jieyang,86,41.88039910513794
Maoming,93,44.42334509339453
Qingyuan,303,165.14944725358973
Shantou,247,81.60796148777744
Shenzhen,456,216.46478438452104
Yangjiang,296,141.80306771233887
Zhanjiang,230,179.86163116644298
Zhaoqing,278,164.6873138676386
Zhongshan,683,567.6490804406474
Zhuhai,507,282.43792231893144
